session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-05-06 18:00,"[0,1)bps",0,,,,0,0,0,0,0
2026-05-06 18:00,"[1,2)bps",6,0.01000000,0.01,0.001229387445731212445038207227,0,1,5,0,0
2026-05-06 18:00,"[2,5)bps",2,0.01000000,0.01,0.001229545882006267409233501496,0,0,2,0,0
2026-05-06 18:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-06 18:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-06 19:00,"[0,1)bps",5,0.01000000,0.01,0.001229203163951456810101110043,0,0,5,0,0
2026-05-06 19:00,"[1,2)bps",6,0.01000000,0.01,0.001230192856562347385613396208,0,0,6,0,0
2026-05-06 19:00,"[2,5)bps",1,0.01000000,0.01,0.001231526866097253799768386742,0,0,1,0,0
2026-05-06 19:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-06 19:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-06 20:00,"[0,1)bps",5,0.01000000,0.01,0.001226472764358431824094861517,0,1,4,0,0
2026-05-06 20:00,"[1,2)bps",4,0.01000000,0.01,0.001227005051953635300784609983,0,0,4,0,0
2026-05-06 20:00,"[2,5)bps",3,0.01000000,0.01,0.001228985088041862846700247208,0,0,3,0,0
2026-05-06 20:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-06 20:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-06 21:00,"[0,1)bps",6,0.01000000,0.01,0.001226535600758059446513129242,0,2,4,0,0
2026-05-06 21:00,"[1,2)bps",0,,,,0,0,0,0,0
2026-05-06 21:00,"[2,5)bps",2,0.01000000,0.01,0.001227654739090694576737420394,0,0,2,0,0
2026-05-06 21:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-06 21:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-06 22:00,"[0,1)bps",5,0.01000000,0.01,0.001229296498429432942285063892,0,1,4,0,0
2026-05-06 22:00,"[1,2)bps",1,0.01000000,0.01,0.001228954235526252643864608816,0,0,1,0,0
2026-05-06 22:00,"[2,5)bps",1,0.01000000,0.01,0.001228810016079593465409520292,0,0,1,0,0
2026-05-06 22:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-06 22:00,"[10,inf)bps",0,,,,0,0,0,0,0
