session,fill_id,order_id,side,open_time_ms,open_price,quantity,open_mid,fee_remaining
2026-04-15 05:00,fill-000005,ord-000147,buy,1776229713368,74240.05000000,0.0002798821044435731838098430646,74242.05500000,0.004155692285599219068940387921
2026-04-15 05:00,fill-000007,ord-000241,buy,1776230123812,74202.00000000,0.001,74204.00500000,0.014840400000000
2026-04-15 05:00,fill-000010,ord-000397,buy,1776230800225,74088.00000000,0.00098000,74090.00500000,0.01452124800000000000
2026-04-15 05:00,fill-000011,ord-000571,buy,1776231436588,73982.00000000,0.001,73982.99500000,0.014796400000000
2026-04-15 05:00,fill-000012,ord-000591,buy,1776231524218,73898.00000000,0.00014000,73898.32500000,0.00206914400000000000
2026-04-15 05:00,fill-000014,ord-000627,buy,1776231649484,73893.35000000,0.00015000,73894.41500000,0.00221680050000000000
2026-04-15 05:00,fill-000015,ord-000651,buy,1776231704767,73946.00000000,0.001,73948.00500000,0.014789200000000
2026-04-15 05:00,fill-000017,ord-000783,buy,1776232222976,73928.00000000,0.001,73928.00500000,0.014785600000000
2026-04-15 05:00,fill-000018,ord-000881,buy,1776232750914,74035.62000000,0.00010000,74037.62500000,0.00148071240000000000
2026-04-15 06:00,fill-000002,ord-000107,buy,1776233173553,73970.00000000,0.000437692307692307692307692308,73972.00500000,0.006475220000000000000000000002
2026-04-15 06:00,fill-000003,ord-000131,buy,1776233259725,73984.00000000,0.001,73985.19500000,0.014796800000000
2026-04-15 06:00,fill-000004,ord-000157,buy,1776233327173,73948.00000000,0.00063000,73948.71500000,0.00931744800000000000
2026-04-15 06:00,fill-000008,ord-000319,buy,1776234128388,73960.00000000,0.001,73961.00500000,0.014792000000000
2026-04-15 06:00,fill-000009,ord-000461,buy,1776234897703,73913.99000000,0.00051000,73914.00500000,0.00753922698000000000
2026-04-15 06:00,fill-000011,ord-000691,buy,1776236113348,73895.40000000,0.00000000000000000000000000000001,73897.40500000,0.00000000000000000000000000000014779080000000
2026-04-15 07:00,fill-000006,ord-000333,buy,1776237419871,73846.00000000,0.0009900000000000000000000000000,73846.00500000,0.01462150800000000000000000000
2026-04-15 07:00,fill-000007,ord-000403,buy,1776237600959,73636.00000000,0.001,73638.00500000,0.014727200000000
2026-04-15 07:00,fill-000008,ord-000495,buy,1776237889367,73698.00000000,0.001,73700.00500000,0.014739600000000
2026-04-15 07:00,fill-000011,ord-000625,buy,1776238401765,73678.00000000,0.001,73680.00500000,0.014735600000000
2026-04-15 07:00,fill-000013,ord-000645,buy,1776238479815,73626.45000000,0.00007000,73628.45500000,0.00103077030000000000
2026-04-15 07:00,fill-000014,ord-000665,buy,1776238567735,73678.00000000,0.001,73680.00500000,0.014735600000000
2026-04-15 07:00,fill-000016,ord-000759,buy,1776238872566,73651.99000000,0.0002800000000000000000000000000,73653.99500000,0.00412451144
2026-04-15 07:00,fill-000017,ord-000761,buy,1776238878110,73632.00000000,0.001,73632.00500000,0.014726400000000
2026-04-15 07:00,fill-000019,ord-000873,buy,1776239365661,73611.15000000,0.00020000,73613.15500000,0.00294444600000000000
2026-04-15 07:00,fill-000020,ord-000917,buy,1776239494504,73748.00000000,0.001,73750.00500000,0.014749600000000
2026-04-15 07:00,fill-000021,ord-000941,buy,1776239558473,73760.63000000,0.00051000,73760.64500000,0.00752358426000000000
2026-04-15 08:00,fill-000002,ord-000141,buy,1776240593285,73764.96000000,0.000397692307692307692307692308,73766.96500000,0.005867151433846153846153846158
2026-04-15 08:00,fill-000003,ord-000153,buy,1776240621815,73726.00000000,0.001,73726.00500000,0.014745200000000
2026-04-15 08:00,fill-000006,ord-000397,buy,1776242043860,74056.21000000,0.00058000,74056.22500000,0.00859052036000000000
2026-04-15 08:00,fill-000007,ord-000481,buy,1776242379275,74112.12000000,0.001,74114.12500000,0.014822424000000
2026-04-15 08:00,fill-000008,ord-000533,buy,1776242625356,74113.98000000,0.001,74115.98500000,0.014822796000000
2026-04-15 08:00,fill-000009,ord-000535,buy,1776242629305,74108.00000000,0.00088000,74108.00500000,0.01304300800000000000
2026-04-15 08:00,fill-000010,ord-000535,buy,1776242629306,74108.00000000,0.00012000,74108.00500000,0.00177859200000000000
2026-04-15 08:00,fill-000011,ord-000557,buy,1776242791465,74055.85000000,0.00007000,74057.85500000,0.00103678190000000000
2026-04-15 09:00,fill-000003,ord-000327,buy,1776244838914,74066.00000000,0.0004072865859263042381896639230,74066.51500000,0.006033217654643529941151129624
2026-04-15 09:00,fill-000004,ord-000367,buy,1776244976608,74067.10000000,0.000149800796812749003984063745,74069.10500000,0.002219062119521912350597609562
2026-04-15 09:00,fill-000005,ord-000373,buy,1776245001258,74069.99000000,0.0001405733072519944503076661990,74071.99500000,0.002082452692484431282868866456
2026-04-15 09:00,fill-000006,ord-000459,buy,1776245304165,73931.35000000,0.00007000,73933.35500000,0.00103503890000000000
2026-04-15 09:00,fill-000008,ord-000521,buy,1776245691407,73942.01000000,0.00006999998449712355200990720964,73944.01500000,0.001035187910737230930790415799
2026-04-15 09:00,fill-000013,ord-000765,buy,1776247197952,74013.11000000,0.00010000,74015.11500000,0.00148026220000000000
