session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-04-18 19:00,"[0,1)bps",7,0.01000000,0.01,0.001322426585469340056775703007,0,0,7,0,0
2026-04-18 19:00,"[1,2)bps",2,0.01000000,0.01,0.001322183314097118161803505513,0,0,2,0,0
2026-04-18 19:00,"[2,5)bps",0,,,,0,0,0,0,0
2026-04-18 19:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-18 19:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-18 20:00,"[0,1)bps",8,0.01000000,0.01,0.001320066644243083082093100209,0,0,8,0,0
2026-04-18 20:00,"[1,2)bps",1,0.01000000,0.01,0.001320132100338752497607425585,0,0,1,0,0
2026-04-18 20:00,"[2,5)bps",0,,,,0,0,0,0,0
2026-04-18 20:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-18 20:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-18 21:00,"[0,1)bps",0,,,,0,0,0,0,0
2026-04-18 21:00,"[1,2)bps",3,0.01000000,0.01,0.001320301511919685661977050037,0,0,3,0,0
2026-04-18 21:00,"[2,5)bps",0,,,,0,0,0,0,0
2026-04-18 21:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-18 21:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-18 22:00,"[0,1)bps",0,,,,0,0,0,0,0
2026-04-18 22:00,"[1,2)bps",1,0.01000000,0.01,0.001322064321469987454270621411,0,0,1,0,0
2026-04-18 22:00,"[2,5)bps",1,0.01000000,0.01,0.001321562528310347286148220770,0,0,1,0,0
2026-04-18 22:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-18 22:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-18 23:00,"[0,1)bps",4,0.01000000,0.01,0.001319875718129096600332615122,0,1,3,0,0
2026-04-18 23:00,"[1,2)bps",2,0.34000000,0.34,0.04484398242237051166614948646,0,0,2,0,0
2026-04-18 23:00,"[2,5)bps",0,,,,0,0,0,0,0
2026-04-18 23:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-18 23:00,"[10,inf)bps",0,,,,0,0,0,0,0
